method,num_chains,samples_per_chain,total_samples_mean,time_seconds_mean,time_seconds_std,samples_per_sec_mean,samples_per_sec_std,efficiency_mean,efficiency_std,devices_used,successful_runs,total_runs
adaptive,1,24000,24000.0,5.278577470779419,0.5275493168051708,4546.679504631052,454.40228540323267,4546.679504631052,454.40228540323267,1,5,5
improved_pmap,1,24000,24000.0,5.699179220199585,0.36457606073815124,4211.13270397549,269.385838406257,4211.13270397549,269.385838406257,1,5,5
numpyro_pmap,1,24000,24000.0,5.259910583496094,0.3565462317154641,4562.815207411372,309.2931985043785,4562.815207411372,309.2931985043785,1,5,5
sequential,1,24000,24000.0,5.0490271091461185,0.3884397276019985,4753.390996163384,365.69538325330126,4753.390996163384,365.69538325330126,1,5,5
adaptive,2,12000,24000.0,3.7118977546691894,0.5146083630010306,6465.695335980212,896.3880775882822,3232.847667990106,448.1940387941411,2,5,5
improved_pmap,2,12000,24000.0,4.430084085464477,0.5217375350160075,5417.504394272393,638.0274807604962,2708.7521971361966,319.0137403802481,2,5,5
numpyro_pmap,2,12000,24000.0,3.808578109741211,0.5192759898380792,6301.564339356762,859.179191173309,3150.782169678381,429.5895955866545,2,5,5
sequential,2,12000,24000.0,6.5409351825714115,0.4610192075992349,3669.2000960273967,258.61313001554413,1834.6000480136984,129.30656500777206,2,5,5
adaptive,4,6000,24000.0,2.6297298431396485,0.09939410804299312,9126.412761603782,344.9448080905497,2281.6031904009456,86.23620202263743,4,5,5
improved_pmap,4,6000,24000.0,3.39944109916687,0.1320295550417061,7059.984067934544,274.1999428433622,1764.996016983636,68.54998571084055,4,5,5
numpyro_pmap,4,6000,24000.0,2.7288673877716065,0.11273997242748103,8794.85756894856,363.3492797305071,2198.71439223714,90.83731993262677,4,5,5
sequential,4,6000,24000.0,7.670913362503052,0.27250646586860666,3128.7017420007332,111.1460153672455,782.1754355001833,27.786503841811374,4,5,5
adaptive,6,4000,24000.0,2.3641903400421143,0.1397234466838095,10151.46690751324,599.9508251053578,1691.9111512522068,99.9918041842263,6,5,5
improved_pmap,6,4000,24000.0,2.5825400352478027,0.0834468058974343,9293.17635832783,300.28029504278237,1548.8627263879716,50.046715840463726,6,5,5
numpyro_pmap,6,4000,24000.0,2.424703311920166,0.13583487882841788,9898.11820770516,554.5048257092724,1649.68636795086,92.4174709515454,6,5,5
sequential,6,4000,24000.0,9.095266342163086,0.38530469046652943,2638.735260422532,111.78529957138335,439.78921007042203,18.630883261897225,6,5,5
adaptive,8,3000,24000.0,2.330852508544922,0.1324083185473795,10296.661805934022,584.9206122552358,1287.0827257417527,73.11507653190448,8,5,5
improved_pmap,8,3000,24000.0,2.2940776348114014,0.17048596566502305,10461.720926882697,777.4700244110119,1307.7151158603372,97.18375305137648,8,5,5
numpyro_pmap,8,3000,24000.0,2.282793092727661,0.09074438860103125,10513.436402299129,417.9245860966328,1314.179550287391,52.2405732620791,8,5,5
sequential,8,3000,24000.0,10.30927357673645,0.16103059277561768,2328.001077996181,36.3633180147573,291.0001347495226,4.545414751844662,8,5,5
